periodo,uf,cod_municipio,municipio,tipo,ideb_2005,ideb_2007,ideb_2009,ideb_2011,ideb_2013,ideb_2015,ideb_2017
fundamental anos iniciais,RS,4301057,Arroio do Sal,Pública,5,5,5,5.7,5.8,5.9,6.1
fundamental anos iniciais,RS,4301073,Arroio do Padre,Municipal,-,4.2,3.7,4.5999999999999996,4.8,5,4.7
fundamental anos iniciais,RS,4301073,Arroio do Padre,Pública,-,4.2,3.7,4.5999999999999996,4.8,5,4.7
fundamental anos iniciais,RS,4301107,Arroio dos Ratos,Estadual,4.0999999999999996,4,4.9000000000000004,4.5,5.2,4.5999999999999996,4.9000000000000004
fundamental anos iniciais,RS,4301107,Arroio dos Ratos,Municipal,4.2,4.4000000000000004,4.3,5.2,5.7,5.0999999999999996,5.4
fundamental anos iniciais,RS,4301107,Arroio dos Ratos,Pública,4.2,4.2,4.4000000000000004,5,5.6,5,5.3
fundamental anos iniciais,RS,4301206,Arroio do Tigre,Estadual,3.9,4.5,5.0999999999999996,5.9,6.7,6.8,7.2
fundamental anos iniciais,RS,4301206,Arroio do Tigre,Municipal,-,3.9,4.8,-,4.5,4.7,4.9000000000000004
fundamental anos iniciais,RS,4301206,Arroio do Tigre,Pública,3.8,4.3,5.0999999999999996,5.5,5.8,5.7,6.2
fundamental anos iniciais,RS,4301305,Arroio Grande,Estadual,3.9,4,4.2,4.9000000000000004,5,5.3,5.4
fundamental anos iniciais,RS,4301305,Arroio Grande,Municipal,3.2,3.7,3.7,4.5999999999999996,4.3,4.4000000000000004,4.9000000000000004
fundamental anos iniciais,RS,4301305,Arroio Grande,Pública,3.8,3.9,4,4.8,4.8,5,5.2
fundamental anos iniciais,RS,4301404,Arvorezinha,Estadual,4.8,6,6,5.7,7,6.2,7.4
fundamental anos iniciais,RS,4301404,Arvorezinha,Municipal,2.9,4,4.2,5.2,5.5,-,6
fundamental anos iniciais,RS,4301404,Arvorezinha,Pública,3.9,5.0999999999999996,5.3,5.4,6.2,6.3,6.8
fundamental anos iniciais,RS,4301503,Augusto Pestana,Estadual,5.2,5.4,5.0999999999999996,-,7,6.6,7
fundamental anos iniciais,RS,4301503,Augusto Pestana,Municipal,-,-,-,5.9,-,-,-
fundamental anos iniciais,RS,4301503,Augusto Pestana,Pública,5.3,5.4,5.0999999999999996,-,6.8,6.7,6.9
fundamental anos iniciais,RS,4301552,Áurea,Estadual,-,4.5,5.9,5.2,7.3,-,6.9
fundamental anos iniciais,RS,4301552,Áurea,Pública,-,4.7,5.8,5.4,7.3,-,6.6
fundamental anos iniciais,RS,4301602,Bagé,Estadual,3.4,4,4.7,4.7,4.9000000000000004,5.4,5.5
fundamental anos iniciais,RS,4301602,Bagé,Municipal,3.6,4.0999999999999996,3.8,4.8,5,5,5.4
fundamental anos iniciais,RS,4301602,Bagé,Pública,3.5,4.0999999999999996,4.2,4.8,5,5.0999999999999996,5.4
fundamental anos iniciais,RS,4301636,Balneário Pinhal,Estadual,5,4.8,4.9000000000000004,-,-,5.5,6.6
fundamental anos iniciais,RS,4301636,Balneário Pinhal,Municipal,3.6,3.8,4.4000000000000004,4.3,4.5999999999999996,4.5,4.9000000000000004
fundamental anos iniciais,RS,4301636,Balneário Pinhal,Pública,3.9,4,4.5,4.3,4.7,4.5999999999999996,5.0999999999999996
fundamental anos iniciais,RS,4301651,Barão,Estadual,4.8,5.5,4.9000000000000004,-,-,-,-
fundamental anos iniciais,RS,4301651,Barão,Municipal,-,-,4.5999999999999996,5.7,6,6.4,6.6
fundamental anos iniciais,RS,4301651,Barão,Pública,4.7,5.3,4.9000000000000004,5.6,6,6.3,6.6
fundamental anos iniciais,RS,4301701,Barão de Cotegipe,Estadual,3.6,4.0999999999999996,4.7,4.7,5.5,5.2,5.5
fundamental anos iniciais,RS,4301701,Barão de Cotegipe,Municipal,-,-,-,-,-,-,6.8
fundamental anos iniciais,RS,4301701,Barão de Cotegipe,Pública,3.8,4.2,4.9000000000000004,4.7,5.5,5.0999999999999996,6
fundamental anos iniciais,RS,4301750,Barão do Triunfo,Estadual,-,-,3.5,-,5.3,-,5.6
fundamental anos iniciais,RS,4301750,Barão do Triunfo,Pública,-,-,4.0999999999999996,-,5.3,-,5.4
fundamental anos iniciais,RS,4301800,Barracão,Estadual,4.3,4.4000000000000004,5.2,-,5.8,-,6
fundamental anos iniciais,RS,4301800,Barracão,Municipal,-,-,-,-,-,6.1,5.7
fundamental anos iniciais,RS,4301800,Barracão,Pública,4.0999999999999996,4.2,5.4,-,5.9,6.1,5.9
fundamental anos iniciais,RS,4301859,Barra do Guarita,Estadual,3.3,4.5999999999999996,4.9000000000000004,-,4.7,5.5,5.8
fundamental anos iniciais,RS,4301859,Barra do Guarita,Municipal,-,4.5,2.8,-,4.0999999999999996,-,4.4000000000000004
fundamental anos iniciais,RS,4301859,Barra do Guarita,Pública,3.4,4.4000000000000004,3.9,-,4.4000000000000004,5.4,5.2
fundamental anos iniciais,RS,4301875,Barra do Quaraí,Estadual,-,3.7,4.5,-,-,5.5,4.8
fundamental anos iniciais,RS,4301875,Barra do Quaraí,Municipal,3.6,4.2,4.5999999999999996,4.7,5,5.4,4.9000000000000004
fundamental anos iniciais,RS,4301875,Barra do Quaraí,Pública,3.7,4.2,4.5999999999999996,4.5999999999999996,5.0999999999999996,5.4,4.9000000000000004
fundamental anos iniciais,RS,4301909,Barra do Ribeiro,Estadual,4,3.9,4.4000000000000004,4.5,4.8,4.5999999999999996,4.3
fundamental anos iniciais,RS,4301909,Barra do Ribeiro,Municipal,3.9,3.7,4.5,4.5999999999999996,4.8,4.7,4.4000000000000004
fundamental anos iniciais,RS,4301909,Barra do Ribeiro,Pública,4.0999999999999996,3.9,4.4000000000000004,4.5999999999999996,4.8,4.7,4.4000000000000004
fundamental anos iniciais,RS,4301925,Barra do Rio Azul,Estadual,-,-,6.1,-,-,-,7.7
fundamental anos iniciais,RS,4301925,Barra do Rio Azul,Municipal,-,-,-,5.8,-,-,-
fundamental anos iniciais,RS,4301925,Barra do Rio Azul,Pública,-,-,6,-,-,-,7.7
fundamental anos iniciais,RS,4301958,Barra Funda,Estadual,-,6.1,5.7,-,-,-,-
fundamental anos iniciais,RS,4301958,Barra Funda,Municipal,-,4.9000000000000004,-,-,-,-,7.5
fundamental anos iniciais,RS,4301958,Barra Funda,Pública,-,5.4,5.7,-,-,-,7
fundamental anos iniciais,RS,4302006,Barros Cassal,Estadual,4.5999999999999996,5.4,4.5,-,5.6,5.8,5.9
fundamental anos iniciais,RS,4302006,Barros Cassal,Municipal,-,3.9,3.8,4.2,4.5999999999999996,4.9000000000000004,4.5
fundamental anos iniciais,RS,4302006,Barros Cassal,Pública,4.3,4.7,4.3,4.2,5.4,5.5,5.4
fundamental anos iniciais,RS,4302055,Benjamin Constant do Sul,Municipal,-,4.0999999999999996,-,-,-,-,-
fundamental anos iniciais,RS,4302055,Benjamin Constant do Sul,Pública,-,3.8,-,-,-,-,-
fundamental anos iniciais,RS,4302105,Bento Gonçalves,Estadual,4.7,5.0999999999999996,5.5,5.8,6,6.1,6.1
fundamental anos iniciais,RS,4302105,Bento Gonçalves,Municipal,4.5999999999999996,5.3,5.2,6.1,6,6.3,6.4
fundamental anos iniciais,RS,4302105,Bento Gonçalves,Pública,4.5999999999999996,5.2,5.3,6,6,6.2,6.3
fundamental anos iniciais,RS,4302154,Boa Vista das Missões,Estadual,-,4.0999999999999996,4.4000000000000004,-,5.4,-,6.8
fundamental anos iniciais,RS,4302154,Boa Vista das Missões,Municipal,3,3.7,-,4.9000000000000004,-,-,5.2
fundamental anos iniciais,RS,4302154,Boa Vista das Missões,Pública,3.4,3.8,4.8,-,5.3,-,5.9
fundamental anos iniciais,RS,4302204,Boa Vista do Buricá,Estadual,-,5.3,5.5,-,6.9,-,6.6
fundamental anos iniciais,RS,4302204,Boa Vista do Buricá,Municipal,-,5.8,5.5,-,6.5,6.3,6.5
fundamental anos iniciais,RS,4302204,Boa Vista do Buricá,Pública,-,5.6,5.4,-,6.7,6.4,6.6
fundamental anos iniciais,RS,4302220,Boa Vista do Cadeado,Municipal,-,4.5,5,5.6,-,-,5.4
fundamental anos iniciais,RS,4302220,Boa Vista do Cadeado,Pública,-,4.5,4.9000000000000004,5.5,-,-,5.4
fundamental anos iniciais,RS,4302238,Boa Vista do Incra,Municipal,4.4000000000000004,3.8,4.7,5.4,4.5999999999999996,5.6,5.4
fundamental anos iniciais,RS,4302238,Boa Vista do Incra,Pública,4.3,3.9,4.7,5.4,4.5999999999999996,5.6,5.5
fundamental anos iniciais,RS,4302253,Boa Vista do Sul,Municipal,-,-,-,-,-,-,6.5
fundamental anos iniciais,RS,4302253,Boa Vista do Sul,Pública,-,-,-,-,-,-,6.6
fundamental anos iniciais,RS,4302303,Bom Jesus,Estadual,3.8,4.0999999999999996,4.9000000000000004,5,5.4,5.7,6.2
fundamental anos iniciais,RS,4302303,Bom Jesus,Municipal,3.4,3.9,4,4.2,5.5,5.5,5.2
fundamental anos iniciais,RS,4302303,Bom Jesus,Pública,3.6,4.0999999999999996,4.5999999999999996,4.7,5.4,5.6,5.8
fundamental anos iniciais,RS,4302352,Bom Princípio,Estadual,5.5,5.9,6.4,6.2,6.7,6.1,6.2
fundamental anos iniciais,RS,4302352,Bom Princípio,Municipal,-,5.0999999999999996,6,6.4,6.7,6.2,6.5
fundamental anos iniciais,RS,4302352,Bom Princípio,Pública,5.6,5.5,6.2,6.4,6.8,6.2,6.4
fundamental anos iniciais,RS,4302378,Bom Progresso,Estadual,-,-,-,-,-,-,5.9
fundamental anos iniciais,RS,4302378,Bom Progresso,Municipal,-,4.4000000000000004,5.0999999999999996,5.0999999999999996,-,-,6.2
fundamental anos iniciais,RS,4302378,Bom Progresso,Pública,-,4.4000000000000004,5.0999999999999996,-,-,-,6.1
fundamental anos iniciais,RS,4302402,Bom Retiro do Sul,Estadual,4.5,5.2,5.8,6,5.8,7.1,6.6
fundamental anos iniciais,RS,4302402,Bom Retiro do Sul,Municipal,4.5,4.4000000000000004,5.2,5.9,6.1,6.4,6.2
fundamental anos iniciais,RS,4302402,Bom Retiro do Sul,Pública,4.4000000000000004,4.9000000000000004,5.4,5.9,5.9,6.7,6.4
fundamental anos iniciais,RS,4302451,Boqueirão do Leão,Estadual,4.7,4.9000000000000004,5.0999999999999996,-,6.3,6,6.2
fundamental anos iniciais,RS,4302451,Boqueirão do Leão,Pública,4.8,5.0999999999999996,5.0999999999999996,-,6.3,6,6.3
fundamental anos iniciais,RS,4302501,Bossoroca,Estadual,4.5999999999999996,4.5,6,-,5.7,5,4.5999999999999996
fundamental anos iniciais,RS,4302501,Bossoroca,Municipal,-,3.4,5.3,4.5999999999999996,5.3,-,4.5
fundamental anos iniciais,RS,4302501,Bossoroca,Pública,4.3,3.9,5.5,-,5.4,5.0999999999999996,4.5
fundamental anos iniciais,RS,4302584,Bozano,Municipal,-,4.3,5.3,5.3,-,-,7.5
fundamental anos iniciais,RS,4302584,Bozano,Pública,-,4.5,5.4,5.4,-,-,7.5
fundamental anos iniciais,RS,4302600,Braga,Estadual,4.5,4.5999999999999996,6.4,-,6,5.6,6.2
fundamental anos iniciais,RS,4302600,Braga,Municipal,-,2.4,3.7,5.0999999999999996,-,4.0999999999999996,-
fundamental anos iniciais,RS,4302600,Braga,Pública,4.5,3.6,5.3,-,5.9,4.8,6.2
fundamental anos iniciais,RS,4302659,Brochier,Estadual,-,5.0999999999999996,4.7,-,6.6,4.7,6.1
fundamental anos iniciais,RS,4302659,Brochier,Municipal,-,-,-,-,-,-,5.4
fundamental anos iniciais,RS,4302659,Brochier,Pública,-,5.2,5.0999999999999996,-,6.1,4.9000000000000004,5.8
fundamental anos iniciais,RS,4302709,Butiá,Estadual,3.9,4.8,5.0999999999999996,5.4,5.7,6.1,6.1
fundamental anos iniciais,RS,4302709,Butiá,Municipal,2.6,3.6,3.5,4.2,4,4.5,4.3
fundamental anos iniciais,RS,4302709,Butiá,Pública,3,4,4,4.7,4.5999999999999996,5.0999999999999996,5
fundamental anos iniciais,RS,4302808,Caçapava do Sul,Estadual,4.5,4.5,4.8,5.3,5.8,5.9,6
fundamental anos iniciais,RS,4302808,Caçapava do Sul,Municipal,3.5,3.8,4,4.3,4.9000000000000004,4.5,4.9000000000000004
fundamental anos iniciais,RS,4302808,Caçapava do Sul,Pública,4.0999999999999996,4.2,4.5,4.8,5.4,5.3,5.5
fundamental anos iniciais,RS,4302907,Cacequi,Estadual,3.5,4.8,4.9000000000000004,4.7,5.3,5.9,5
fundamental anos iniciais,RS,4302907,Cacequi,Municipal,2.9,4.3,-,5,4.4000000000000004,-,5.3
fundamental anos iniciais,RS,4302907,Cacequi,Pública,3.5,4.7,4.8,5,5,5.7,5.0999999999999996
fundamental anos iniciais,RS,4303004,Cachoeira do Sul,Estadual,4.3,4.4000000000000004,4.5999999999999996,5.0999999999999996,5.3,5.4,-
fundamental anos iniciais,RS,4303004,Cachoeira do Sul,Municipal,4.0999999999999996,4.0999999999999996,4.2,4.5,5,5.2,5.3
fundamental anos iniciais,RS,4303004,Cachoeira do Sul,Pública,4.3,4.3,4.5,4.8,5.2,5.3,5.5
fundamental anos iniciais,RS,4303103,Cachoeirinha,Estadual,4.5,4.5999999999999996,4.9000000000000004,5.9,5.7,5.6,5.7
fundamental anos iniciais,RS,4303103,Cachoeirinha,Municipal,4.3,4.5,4.5999999999999996,5.0999999999999996,5.3,5.5,5.5
fundamental anos iniciais,RS,4303103,Cachoeirinha,Pública,4.3,4.5999999999999996,4.7,5.3,5.4,5.5,5.6
fundamental anos iniciais,RS,4303202,Cacique Doble,Estadual,-,-,-,-,5.5,-,6.3
fundamental anos iniciais,RS,4303202,Cacique Doble,Municipal,-,4.0999999999999996,3.1,6.2,-,6,6.8
fundamental anos iniciais,RS,4303202,Cacique Doble,Pública,-,3.6,2.8,5.8,5.6,5.8,6.6
fundamental anos iniciais,RS,4303301,Caibaté,Estadual,4.0999999999999996,4.2,4.4000000000000004,4.4000000000000004,6,5.3,6
fundamental anos iniciais,RS,4303301,Caibaté,Municipal,-,-,3.8,-,-,-,4.8
fundamental anos iniciais,RS,4303301,Caibaté,Pública,4.2,4.2,4.3,4.3,6,5.5,5.4
fundamental anos iniciais,RS,4303400,Caiçara,Estadual,4.3,4.5999999999999996,5.6,-,5.5,6.6,7.1
fundamental anos iniciais,RS,4303400,Caiçara,Municipal,-,-,-,4.8,-,-,-
fundamental anos iniciais,RS,4303400,Caiçara,Pública,4.4000000000000004,4.5999999999999996,5.5,-,5.5,6.7,7.1
fundamental anos iniciais,RS,4303509,Camaquã,Estadual,4.0999999999999996,4.5999999999999996,4.7,5.4,5.9,5.9,5.8
fundamental anos iniciais,RS,4303509,Camaquã,Municipal,4.0999999999999996,4.5,4.5,4.9000000000000004,5.2,5.0999999999999996,5.6
fundamental anos iniciais,RS,4303509,Camaquã,Pública,4.2,4.5999999999999996,4.5999999999999996,5.2,5.6,5.5,5.7
fundamental anos iniciais,RS,4303558,Camargo,Estadual,4.0999999999999996,5.0999999999999996,4.5999999999999996,4.8,5.8,5.9,5.7
fundamental anos iniciais,RS,4303558,Camargo,Pública,4.2,5,4.9000000000000004,5,5.9,6,5.8
fundamental anos iniciais,RS,4303608,Cambará do Sul,Estadual,-,4.7,3.8,5.8,5.9,5.3,5.7
fundamental anos iniciais,RS,4303608,Cambará do Sul,Municipal,-,3.2,-,4.5999999999999996,4,-,3.6
fundamental anos iniciais,RS,4303608,Cambará do Sul,Pública,-,4.3,3.6,5.3,5,4.9000000000000004,5.0999999999999996
fundamental anos iniciais,RS,4303673,Campestre da Serra,Estadual,-,-,-,-,5.4,-,-
fundamental anos iniciais,RS,4303673,Campestre da Serra,Municipal,-,5.0999999999999996,5.3,6.5,6.4,-,6.9
fundamental anos iniciais,RS,4303673,Campestre da Serra,Pública,-,5.0999999999999996,5.4,6.4,6,-,6
fundamental anos iniciais,RS,4303707,Campina das Missões,Estadual,4.7,4.5999999999999996,-,-,-,-,-
fundamental anos iniciais,RS,4303707,Campina das Missões,Municipal,-,5.4,5.0999999999999996,-,6.1,6.7,6.7
fundamental anos iniciais,RS,4303707,Campina das Missões,Pública,4.8,5.2,5.0999999999999996,-,6.2,6.7,6.6
fundamental anos iniciais,RS,4303806,Campinas do Sul,Estadual,5,5.6,6.2,-,6.5,7.8,7.4
fundamental anos iniciais,RS,4303806,Campinas do Sul,Municipal,2.8,4.5999999999999996,5.2,5.0999999999999996,5.4,-,5.0999999999999996
fundamental anos iniciais,RS,4303806,Campinas do Sul,Pública,4.2,5.3,5.8,-,6.1,7.8,6.9
fundamental anos iniciais,RS,4303905,Campo Bom,Estadual,5.2,5.5,6.1,-,6.2,5.8,6.4
fundamental anos iniciais,RS,4303905,Campo Bom,Municipal,5,5.3,5.8,6.2,6.2,6.8,6.7
fundamental anos iniciais,RS,4303905,Campo Bom,Pública,5,5.4,5.9,6.2,6.2,6.7,6.7
fundamental anos iniciais,RS,4304002,Campo Novo,Estadual,4.7,4.5,6,6,5.0999999999999996,-,6.9
fundamental anos iniciais,RS,4304002,Campo Novo,Municipal,3.7,4.2,-,5.2,-,5.4,6.4
fundamental anos iniciais,RS,4304002,Campo Novo,Pública,4.2,4.3,5.7,5.9,5,5.5,6.7
fundamental anos iniciais,RS,4304101,Campos Borges,Estadual,-,5.2,5.7,-,5.7,7.2,6.5
fundamental anos iniciais,RS,4304101,Campos Borges,Municipal,3.7,4.4000000000000004,4.7,5.6,5.4,5.3,6.2
fundamental anos iniciais,RS,4304101,Campos Borges,Pública,3.9,4.8,5.0999999999999996,-,5.6,6,6.3
fundamental anos iniciais,RS,4304200,Candelária,Estadual,4,4.5999999999999996,4.9000000000000004,5.0999999999999996,6,5.7,6
fundamental anos iniciais,RS,4304200,Candelária,Municipal,3.4,4.5,4.2,4.5999999999999996,5.0999999999999996,5.7,5.5
fundamental anos iniciais,RS,4304200,Candelária,Pública,3.7,4.5,4.5999999999999996,4.8,5.5,5.7,5.8
fundamental anos iniciais,RS,4304309,Cândido Godói,Estadual,-,-,5.8,-,-,-,6.3
fundamental anos iniciais,RS,4304309,Cândido Godói,Municipal,5.7,6.1,6.7,6.1,6.9,6.9,6.8
fundamental anos iniciais,RS,4304309,Cândido Godói,Pública,5.7,6,6.4,-,6.9,6.9,6.6
fundamental anos iniciais,RS,4304358,Candiota,Estadual,3.6,3.9,3.8,4.7,5,4.7,5.3
fundamental anos iniciais,RS,4304358,Candiota,Municipal,-,3.8,4,5,4.9000000000000004,5.3,4.9000000000000004
fundamental anos iniciais,RS,4304358,Candiota,Pública,3.6,4,3.9,4.5999999999999996,4.9000000000000004,4.8,5.0999999999999996
fundamental anos iniciais,RS,4304408,Canela,Estadual,4.4000000000000004,4.9000000000000004,5.4,5.7,5.8,5.9,6.2
fundamental anos iniciais,RS,4304408,Canela,Municipal,4,4.3,4.2,5.2,5.2,4.9000000000000004,5.2
fundamental anos iniciais,RS,4304408,Canela,Pública,4.2,4.5999999999999996,4.8,5.4,5.5,5.3,5.7
fundamental anos iniciais,RS,4304507,Canguçu,Estadual,4.2,4.5999999999999996,5.4,5.9,6.1,6.4,6.6
fundamental anos iniciais,RS,4304507,Canguçu,Municipal,3.6,4.5,5,5.3,5.5,5.6,5.3
fundamental anos iniciais,RS,4304507,Canguçu,Pública,4.2,4.5999999999999996,5.5,5.5,5.7,5.9,5.8
fundamental anos iniciais,RS,4304606,Canoas,Estadual,3.7,4.4000000000000004,4.8,4.9000000000000004,5.3,5.2,5.3
fundamental anos iniciais,RS,4304606,Canoas,Municipal,3.8,4.0999999999999996,4.4000000000000004,4.8,4.9000000000000004,5,5.0999999999999996
fundamental anos iniciais,RS,4304606,Canoas,Pública,3.8,4.0999999999999996,4.5,4.8,5,5.0999999999999996,5.0999999999999996
fundamental anos iniciais,RS,4304614,Canudos do Vale,Estadual,-,-,-,-,-,-,7.2
fundamental anos iniciais,RS,4304614,Canudos do Vale,Pública,-,-,-,-,-,-,7.2
fundamental anos iniciais,RS,4304622,Capão Bonito do Sul,Estadual,-,3.4,-,-,-,-,-
fundamental anos iniciais,RS,4304622,Capão Bonito do Sul,Municipal,-,3,3.5,4.9000000000000004,5.7,5.8,7.2
fundamental anos iniciais,RS,4304622,Capão Bonito do Sul,Pública,-,3.3,3.5,-,5.7,5.8,7.2
fundamental anos iniciais,RS,4304630,Capão da Canoa,Estadual,4,4.8,5.3,5.2,5.7,5.7,5.7
fundamental anos iniciais,RS,4304630,Capão da Canoa,Municipal,3.4,4.3,4.4000000000000004,5,4.8,4.9000000000000004,5.0999999999999996
