periodo,uf,cod_municipio,municipio,tipo,ideb_2005,ideb_2007,ideb_2009,ideb_2011,ideb_2013,ideb_2015,ideb_2017
fundamental anos iniciais,RS,4300034,Aceguá,Estadual,-,4.2,-,-,-,-,-
fundamental anos iniciais,RS,4300034,Aceguá,Municipal,-,-,4.5999999999999996,5.4,5.4,5.6,5.5
fundamental anos iniciais,RS,4300034,Aceguá,Pública,-,4.4000000000000004,4.5999999999999996,5.4,5.4,5.6,5.5
fundamental anos iniciais,RS,4300059,Água Santa,Municipal,4.8,4.9000000000000004,4.5,5.3,5.7,5.9,5.7
fundamental anos iniciais,RS,4300059,Água Santa,Pública,4.5999999999999996,4.8,4.5,5.2,5.6,5.8,5.7
fundamental anos iniciais,RS,4300109,Agudo,Estadual,4.3,5.0999999999999996,4.8,5.8,6.3,6.2,5.9
fundamental anos iniciais,RS,4300109,Agudo,Municipal,3.9,3.9,4.4000000000000004,5,5.3,5.7,6.1
fundamental anos iniciais,RS,4300109,Agudo,Pública,4.0999999999999996,4.4000000000000004,4.5,5.3,5.6,5.9,6.1
fundamental anos iniciais,RS,4300208,Ajuricaba,Estadual,-,4.7,-,-,5.8,6.2,6.3
fundamental anos iniciais,RS,4300208,Ajuricaba,Municipal,-,5.4,6.3,-,6.2,-,5.9
fundamental anos iniciais,RS,4300208,Ajuricaba,Pública,-,5.0999999999999996,6.3,-,6,6.2,6.2
fundamental anos iniciais,RS,4300307,Alecrim,Estadual,5.2,5.0999999999999996,5.3,6,6.3,6.3,5.7
fundamental anos iniciais,RS,4300307,Alecrim,Municipal,-,-,-,5.7,-,-,-
fundamental anos iniciais,RS,4300307,Alecrim,Pública,5,5,5,6,6.4,6.3,5.6
fundamental anos iniciais,RS,4300406,Alegrete,Estadual,3.7,4.3,4.5999999999999996,4.8,5.6,5.6,5.8
fundamental anos iniciais,RS,4300406,Alegrete,Municipal,3.1,4.0999999999999996,4.2,4.2,5.0999999999999996,4.9000000000000004,5.2
fundamental anos iniciais,RS,4300406,Alegrete,Pública,3.5,4.3,4.5,4.5,5.4,5.4,5.5
fundamental anos iniciais,RS,4300455,Alegria,Estadual,-,-,-,-,5.6,5.4,5.9
fundamental anos iniciais,RS,4300455,Alegria,Municipal,3.4,4.4000000000000004,5.0999999999999996,5,5.6,5.9,5.7
fundamental anos iniciais,RS,4300455,Alegria,Pública,3.5,4.5,5.0999999999999996,-,5.6,5.6,5.8
fundamental anos iniciais,RS,4300471,Almirante Tamandaré do Sul,Estadual,-,-,-,-,-,-,-
fundamental anos iniciais,RS,4300471,Almirante Tamandaré do Sul,Pública,-,-,-,-,-,-,-
fundamental anos iniciais,RS,4300505,Alpestre,Estadual,4.7,5,5.0999999999999996,-,6.4,7.4,6.9
fundamental anos iniciais,RS,4300505,Alpestre,Municipal,-,4.5999999999999996,-,4.7,-,-,6.2
fundamental anos iniciais,RS,4300505,Alpestre,Pública,4.5999999999999996,4.9000000000000004,5.0999999999999996,-,6.5,7.4,6.6
fundamental anos iniciais,RS,4300554,Alto Alegre,Estadual,-,-,-,-,-,-,-
fundamental anos iniciais,RS,4300554,Alto Alegre,Pública,-,-,-,-,-,-,-
fundamental anos iniciais,RS,4300570,Alto Feliz,Estadual,-,5.4,6.3,-,-,-,-
fundamental anos iniciais,RS,4300570,Alto Feliz,Municipal,-,-,-,6.7,-,5.5,6.2
fundamental anos iniciais,RS,4300570,Alto Feliz,Pública,-,5.6,6.3,-,-,5.5,6.2
fundamental anos iniciais,RS,4300604,Alvorada,Estadual,3.7,3.8,4.2,4.5999999999999996,4.8,4.7,5
fundamental anos iniciais,RS,4300604,Alvorada,Municipal,3.9,3.8,4.0999999999999996,4.3,4.7,4.8,4.8
fundamental anos iniciais,RS,4300604,Alvorada,Pública,3.9,3.8,4.2,4.4000000000000004,4.7,4.8,4.9000000000000004
fundamental anos iniciais,RS,4300638,Amaral Ferrador,Estadual,3.1,-,-,-,-,4.3,5.2
fundamental anos iniciais,RS,4300638,Amaral Ferrador,Municipal,-,3.9,-,-,4.8,4.2,4.7
fundamental anos iniciais,RS,4300638,Amaral Ferrador,Pública,3.3,3.9,-,-,4.8,4.3,4.9000000000000004
fundamental anos iniciais,RS,4300646,Ametista do Sul,Estadual,3.7,4.9000000000000004,6,5.4,5.6,5.9,5.6
fundamental anos iniciais,RS,4300646,Ametista do Sul,Municipal,3.6,4.7,4.8,4.5999999999999996,5.6,5.4,5.6
fundamental anos iniciais,RS,4300646,Ametista do Sul,Pública,3.7,4.8,5.0999999999999996,4.8,5.6,5.6,5.6
fundamental anos iniciais,RS,4300661,André da Rocha,Municipal,-,4.5,4.8,4.7,-,-,6.4
fundamental anos iniciais,RS,4300661,André da Rocha,Pública,-,4.4000000000000004,4.8,-,-,-,6.4
fundamental anos iniciais,RS,4300703,Anta Gorda,Estadual,5.5,4.9000000000000004,5.5,-,6.1,6.5,6.4
fundamental anos iniciais,RS,4300703,Anta Gorda,Municipal,-,-,-,5.3,-,-,-
fundamental anos iniciais,RS,4300703,Anta Gorda,Pública,5.6,4.9000000000000004,5.6,-,6.2,6.6,6.5
fundamental anos iniciais,RS,4300802,Antônio Prado,Estadual,5.4,5.0999999999999996,5.4,5.8,6.5,6.1,6.5
fundamental anos iniciais,RS,4300802,Antônio Prado,Municipal,4.5999999999999996,4.7,4.8,4.5,5.0999999999999996,5.6,4.9000000000000004
fundamental anos iniciais,RS,4300802,Antônio Prado,Pública,5.0999999999999996,5,5.2,5.0999999999999996,5.9,5.9,5.6
fundamental anos iniciais,RS,4300851,Arambaré,Estadual,4.3,5.2,4.4000000000000004,-,5.2,-,-
fundamental anos iniciais,RS,4300851,Arambaré,Municipal,-,-,-,-,-,-,5
fundamental anos iniciais,RS,4300851,Arambaré,Pública,4.3,5.6,4.5999999999999996,-,5.2,-,5.0999999999999996
fundamental anos iniciais,RS,4300877,Araricá,Estadual,-,5.6,-,-,-,4.8,5.0999999999999996
fundamental anos iniciais,RS,4300877,Araricá,Municipal,3.9,4.0999999999999996,4.5999999999999996,5.2,5.4,5.9,6.3
fundamental anos iniciais,RS,4300877,Araricá,Pública,3.9,4.2,4.5999999999999996,5.2,5.5,5.8,6.2
fundamental anos iniciais,RS,4300901,Aratiba,Estadual,5.3,5.5,5.6,-,-,-,6.3
fundamental anos iniciais,RS,4300901,Aratiba,Municipal,-,-,6,6.7,7.4,7.7,6.6
fundamental anos iniciais,RS,4300901,Aratiba,Pública,5.3,5.4,5.8,6.7,7.4,7.7,6.5
fundamental anos iniciais,RS,4301008,Arroio do Meio,Estadual,4.5,4.5,4.8,5.2,6.1,-,-
fundamental anos iniciais,RS,4301008,Arroio do Meio,Municipal,5.0999999999999996,5.6,6,6.1,6.4,6.4,6.5
fundamental anos iniciais,RS,4301008,Arroio do Meio,Pública,4.9000000000000004,5.3,5.8,5.9,6.3,6.4,6.5
fundamental anos iniciais,RS,4301057,Arroio do Sal,Estadual,5.0999999999999996,5.6,5.3,-,5.8,7,-
fundamental anos iniciais,RS,4301057,Arroio do Sal,Municipal,5,4.7,4.9000000000000004,5.6,5.8,5.5,6.1
