id_orgao,cd_orgao,nm_orgao,sigla_orgao,esfera,home_page,nome_municipio,cd_municipio_ibge,nome_entidade,sigla_estado,id_estado
6de47e65b8399d7c4869b3eafbefcc01,170018,SUPERITENDENCIA REGIONAL DA RFB NA 1A RF,SUPERITENDENCIA REGIONAL DA RFB NA 1A RF,FEDERAL,NA,Ministério da Economia - Unidades com vínculo,25000,Ministério da Economia - Unidades com vínculo,BR,99
c7e1a3b9e64b38c74b22db926d8b7b9b,158442,INST. FED. BAIANO - CAMPUS GUANAMBI,INST. FED. BAIANO - CAMPUS GUANAMBI,FEDERAL,NA,Instituto Federal Baiano,26404,Instituto Federal Baiano,BR,99
6d1be783819e685bea178158bacecb0b,160191,CENTRO PREPARACAO OFICIAIS RESERVA/RECIFE,CENTRO PREPARACAO OFICIAIS RESERVA/RECIFE,FEDERAL,NA,Comando do Exército,52121,Comando do Exército,BR,99
198188066676460625ad6fd5a3df0288,160437,8 REGIMENTO DE CAVALARIA MECANIZADO,8 REGIMENTO DE CAVALARIA MECANIZADO,FEDERAL,NA,Comando do Exército,52121,Comando do Exército,BR,99
7dc4585cef128e8598cdcb8ea0e36a61,160491,COMISSAO REGIONAL DE OBRAS/2,COMISSAO REGIONAL DE OBRAS/2,FEDERAL,NA,Comando do Exército,52121,Comando do Exército,BR,99
6b51790ece179aa48afbc2cd44efb569,275078,CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC,CIA.BRASILEIRA DE TRENS URBANOS-STU/MAC,FEDERAL,NA,Companhia Brasileira de Trens Urbanos,29214,Companhia Brasileira de Trens Urbanos,BR,99
eb7f6615427a4ef8717ab3707c75a459,510580,GERENCIA EXECUTIVA MANAUS,GERENCIA EXECUTIVA MANAUS,FEDERAL,NA,Instituto Nacional do Seguro Social,37202,Instituto Nacional do Seguro Social,BR,99
01e58607c4e0919975511e0a2e4a99a9,783340,CAPITANIA DOS PORTOS  DE PERNAMBUCO,CAPITANIA DOS PORTOS  DE PERNAMBUCO,FEDERAL,NA,Comando da Marinha,52131,Comando da Marinha,BR,99
748779fde582c228a85e5fe6353cc42c,791000,COMANDO-EM-CHEFE DA ESQUADRA,COMANDO-EM-CHEFE DA ESQUADRA,FEDERAL,NA,Comando da Marinha,52131,Comando da Marinha,BR,99
6568a050831e54ce7c8ddfa6ef505480,926107,UNIVERSIDADE ESTADUAL DE CIÊNCIA DA SAÚDE/AL,UNIVERSIDADE ESTADUAL DE CIÊNCIA DA SAÚDE/AL,FEDERAL,NA,UNIVERSIDADE FEDERAL DE ALAGOAS,26231,UNIVERSIDADE FEDERAL DE ALAGOAS,BR,99
ff259464953a2a514b8aaba35c84cc6f,926583,CONSELHO REGIONAL DE FARMÁCIA DO ESTADO DE RO,CONSELHO REGIONAL DE FARMÁCIA DO ESTADO DE RO,FEDERAL,NA,CONSELHO REGIONAL DE FARMÁCIA DO ESTADO DE RO,38567,CONSELHO REGIONAL DE FARMÁCIA DO ESTADO DE RO,BR,99
767ad700dd5fa9b2c7e5d553d19d7382,926265,CONSELHO REG. DE ENGENHARIA E AGRONOMIA DA BA,CONSELHO REG. DE ENGENHARIA E AGRONOMIA DA BA,FEDERAL,NA,CONTROLADORIA GERAL DA UNIÃO,37000,CONTROLADORIA GERAL DA UNIÃO,BR,99
6091e1af81e34b589fbec537965b2c57,925137,BANCO CENTRAL DO BRASIL - SALVADOR,BANCO CENTRAL DO BRASIL - SALVADOR,FEDERAL,NA,BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL,25201,BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL,BR,99
75dc50c06e3cb8e13c24c46399642fa8,112408,HOSPITAL DAS FORCAS ARMADAS,HOSPITAL DAS FORCAS ARMADAS,FEDERAL,NA,Ministério da Defesa - Unidades com vínculo d,52000,Ministério da Defesa - Unidades com vínculo d,BR,99
ea8fc4b59a1f080e4de29d20cdc8256d,113202,COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN,COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN,FEDERAL,NA,Comissão Nacional de Energia Nuclear,20301,Comissão Nacional de Energia Nuclear,BR,99
d6c445724d095bdbf91d2c5a2a88d66a,114602,UNIDADE ESTADUAL DO IBGE EM RONDONIA,UNIDADE ESTADUAL DO IBGE EM RONDONIA,FEDERAL,NA,Fundação Instituto Brasileiro de Geografia e,25205,Fundação Instituto Brasileiro de Geografia e,BR,99
2606392e51513d44288fa8161f367ef4,114614,UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO,UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO,FEDERAL,NA,Fundação Instituto Brasileiro de Geografia e,25205,Fundação Instituto Brasileiro de Geografia e,BR,99
1d7336cf04bd4d57aa173f4c0c6c9395,114624,UNIDADE ESTADUAL DO IBGE EM SANTA CATARINA,UNIDADE ESTADUAL DO IBGE EM SANTA CATARINA,FEDERAL,NA,Fundação Instituto Brasileiro de Geografia e,25205,Fundação Instituto Brasileiro de Geografia e,BR,99
1a5d6129581eda6b0701ef92bac7ee49,120632,BASE AEREA DE RECIFE,BASE AEREA DE RECIFE,FEDERAL,NA,Comando da Aeronáutica,52111,Comando da Aeronáutica,BR,99
