cd_municipio_ibge,nome_municipio,id_estado,sigla_estado,slug_municipio
25000,Ministério Da Economia - Unidades Com Vínculo,99,BR,ministerio-da-economia---unidades-com-vinculo-br
26404,Instituto Federal Baiano,99,BR,instituto-federal-baiano-br
52121,Comando Do Exército,99,BR,comando-do-exercito-br
29214,Companhia Brasileira De Trens Urbanos,99,BR,companhia-brasileira-de-trens-urbanos-br
37202,Instituto Nacional Do Seguro Social,99,BR,instituto-nacional-do-seguro-social-br
52131,Comando Da Marinha,99,BR,comando-da-marinha-br
26231,Universidade Federal De Alagoas,99,BR,universidade-federal-de-alagoas-br
38567,Conselho Regional De Farmácia Do Estado De Ro,99,BR,conselho-regional-de-farmacia-do-estado-de-ro-br
37000,Controladoria Geral Da União,99,BR,controladoria-geral-da-uniao-br
25201,Banco Central Do Brasil-Orc.fiscal/Seg.social,99,BR,banco-central-do-brasil-orc.fiscal/seg.social-br
52000,Ministério Da Defesa - Unidades Com Vínculo D,99,BR,ministerio-da-defesa---unidades-com-vinculo-d-br
20301,Comissão Nacional De Energia Nuclear,99,BR,comissao-nacional-de-energia-nuclear-br
25205,Fundação Instituto Brasileiro De Geografia E,99,BR,fundacao-instituto-brasileiro-de-geografia-e-br
52111,Comando Da Aeronáutica,99,BR,comando-da-aeronautica-br
22000,"Ministério Da Agricultura, Pecuária E Abastec",99,BR,"ministerio-da-agricultura,-pecuaria-e-abastec-br"
22202,Empresa Brasileira De Pesquisa Agropecuária,99,BR,empresa-brasileira-de-pesquisa-agropecuaria-br
22211,Companhia Nacional De Abastecimento,99,BR,companhia-nacional-de-abastecimento-br
26258,Universidade Tecnológica Federal Do Paraná,99,BR,universidade-tecnologica-federal-do-parana-br
26436,Instituto Federal Sul-Rio-Grandense,99,BR,instituto-federal-sul-rio-grandense-br
26000,Ministério Da Educação - Unidades Com Vínculo,99,BR,ministerio-da-educacao---unidades-com-vinculo-br
26422,Instituto Federal Catarinense,99,BR,instituto-federal-catarinense-br
26423,Instituto Federal De Sergipe,99,BR,instituto-federal-de-sergipe-br
26435,Instituto Federal Do Rio Grande Do Norte,99,BR,instituto-federal-do-rio-grande-do-norte-br
26402,Instituto Federal De Alagoas,99,BR,instituto-federal-de-alagoas-br
26262,Universidade Federal De São Paulo,99,BR,universidade-federal-de-sao-paulo-br
26233,Universidade Federal Do Ceará,99,BR,universidade-federal-do-ceara-br
26245,Universidade Federal Do Rio De Janeiro,99,BR,universidade-federal-do-rio-de-janeiro-br
26201,Colégio Pedro Ii,99,BR,colegio-pedro-ii-br
26298,Fundo Nacional De Desenvolvimento Da Educação,99,BR,fundo-nacional-de-desenvolvimento-da-educacao-br
26238,Universidade Federal De Minas Gerais,99,BR,universidade-federal-de-minas-gerais-br
26271,Fundação Universidade De Brasília,99,BR,fundacao-universidade-de-brasilia-br
26273,Universidade Federal Do Rio Grande,99,BR,universidade-federal-do-rio-grande-br
26250,Universidade Federal De Roraima,99,BR,universidade-federal-de-roraima-br
26432,Instituto Federal Do Paraná,99,BR,instituto-federal-do-parana-br
26411,Instituto Federal Do Sudeste De Minas Gerais,99,BR,instituto-federal-do-sudeste-de-minas-gerais-br
26412,Instituto Federal Do Sul De Minas Gerais,99,BR,instituto-federal-do-sul-de-minas-gerais-br
26408,Instituto Federal Do Maranhão,99,BR,instituto-federal-do-maranhao-br
26443,Empresa Brasileira De Serviços Hospitalares,99,BR,empresa-brasileira-de-servicos-hospitalares-br
26420,Instituto Federal Farroupilha,99,BR,instituto-federal-farroupilha-br
26407,Instituto Federal Goiano,99,BR,instituto-federal-goiano-br
26418,Instituto Federal De Pernambuco,99,BR,instituto-federal-de-pernambuco-br
26409,Instituto Federal De Minas Gerais,99,BR,instituto-federal-de-minas-gerais-br
26415,Instituto Federal Do Mato Grosso Do Sul,99,BR,instituto-federal-do-mato-grosso-do-sul-br
26410,Instituto Federal Do Norte De Minas Gerais,99,BR,instituto-federal-do-norte-de-minas-gerais-br
26417,Instituto Federal Da Paraíba,99,BR,instituto-federal-da-paraiba-br
26454,Universidade Federal De Rondonopolis,99,BR,universidade-federal-de-rondonopolis-br
26351,Universidade Federal Do Recôncavo Da Bahia,99,BR,universidade-federal-do-reconcavo-da-bahia-br
26406,Instituto Federal Do Espírito Santo,99,BR,instituto-federal-do-espirito-santo-br
26430,Instituto Federal Do Sertão De Pernambuco,99,BR,instituto-federal-do-sertao-de-pernambuco-br
26413,Instituto Federal Do Triângulo Mineiro,99,BR,instituto-federal-do-triangulo-mineiro-br
26437,Instituto Federal De Roraima,99,BR,instituto-federal-de-roraima-br
26427,Instituto Federal Da Bahia,99,BR,instituto-federal-da-bahia-br
26403,Instituto Federal Do Amazonas,99,BR,instituto-federal-do-amazonas-br
26433,Instituto Federal Do Rio De Janeiro,99,BR,instituto-federal-do-rio-de-janeiro-br
26414,Instituto Federal Do Mato Grosso,99,BR,instituto-federal-do-mato-grosso-br
26416,Instituto Federal Do Pará,99,BR,instituto-federal-do-para-br
26421,Instituto Federal De Rondônia,99,BR,instituto-federal-de-rondonia-br
26405,Instituto Federal Do Ceará,99,BR,instituto-federal-do-ceara-br
52904,Fundo Do Exército,99,BR,fundo-do-exercito-br
20701,Instituto Brasileiro Do Meio Ambiente E Dos R,99,BR,instituto-brasileiro-do-meio-ambiente-e-dos-r-br
30202,Fundação Nacional Do Índio,99,BR,fundacao-nacional-do-indio-br
22203,Companhia De Desenvolvimento Dos Vales Do São,99,BR,companhia-de-desenvolvimento-dos-vales-do-sao-br
30802,Departamento De Polícia Rodoviária Federal,99,BR,departamento-de-policia-rodoviaria-federal-br
30911,Fundo Nacional De Segurança Pública,99,BR,fundo-nacional-de-seguranca-publica-br
30108,Departamento De Polícia Federal,99,BR,departamento-de-policia-federal-br
35000,Ministério Das Relações Exteriores - Unidades,99,BR,ministerio-das-relacoes-exteriores---unidades-br
36000,Ministério Da Saúde - Unidades Com Vínculo Di,99,BR,ministerio-da-saude---unidades-com-vinculo-di-br
36212,Agência Nacional De Vigilância Sanitária,99,BR,agencia-nacional-de-vigilancia-sanitaria-br
36201,Fundação Oswaldo Cruz,99,BR,fundacao-oswaldo-cruz-br
