tipo_educacao,municipio,esfera,creche_parcial,creche_integral,pre_escola_parcial,pre_escola_integral,fundamental_inicial_parcial,fundamental_inicial_integral,fundamental_final_parcial,fundamental_final_integral,medio_parcial,medio_integral,eja_fundamental,eja_medio
regular,ALTO ALEGRE,Municipal Urbana,34,12,41,0,0,0,0,0,0,0,0,0
regular,ALTO ALEGRE,Municipal Rural,0,0,0,0,25,0,28,0,0,0,0,0
regular,ALTO ALEGRE,Estadual e Municipal,34,12,41,0,85,0,76,0,45,0,0,0
regular,ALTO FELIZ,Estadual Urbana,0,0,0,0,0,0,62,0,56,0,0,0
regular,ALTO FELIZ,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ALTO FELIZ,Municipal Urbana,0,78,0,55,40,83,54,12,0,0,0,0
regular,ALTO FELIZ,Municipal Rural,0,0,12,0,4,4,0,0,0,0,0,0
regular,ALTO FELIZ,Estadual e Municipal,0,78,12,55,44,87,116,12,56,0,0,0
regular,ALVORADA,Estadual Urbana,0,0,0,0,5032,0,6490,0,6533,116,673,559
regular,ALVORADA,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ALVORADA,Municipal Urbana,0,0,1570,0,8192,844,4544,335,0,0,2771,0
regular,ALVORADA,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ALVORADA,Estadual e Municipal,0,0,1570,0,13224,844,11034,335,6533,116,3444,559
regular,AMARAL FERRADOR,Estadual Urbana,0,0,0,0,72,0,64,0,207,0,74,0
regular,AMARAL FERRADOR,Estadual Rural,0,0,0,0,31,0,37,0,0,0,0,0
regular,AMARAL FERRADOR,Municipal Urbana,16,0,40,0,86,0,90,0,0,0,0,0
regular,AMARAL FERRADOR,Municipal Rural,18,0,66,0,199,0,151,0,0,0,0,0
regular,AMARAL FERRADOR,Estadual e Municipal,34,0,106,0,388,0,342,0,207,0,74,0
regular,AMETISTA DO SUL,Estadual Urbana,0,0,0,0,102,0,199,0,227,0,14,34
regular,AMETISTA DO SUL,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,AMETISTA DO SUL,Municipal Urbana,111,45,162,0,266,15,292,14,0,0,0,0
regular,AMETISTA DO SUL,Municipal Rural,0,0,0,0,33,2,0,0,0,0,0,0
regular,AMETISTA DO SUL,Estadual e Municipal,111,45,162,0,401,17,491,14,227,0,14,34
regular,ANDRE DA ROCHA,Estadual Urbana,0,0,0,0,0,0,50,0,27,0,0,0
regular,ANDRE DA ROCHA,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ANDRE DA ROCHA,Municipal Urbana,0,20,21,0,70,0,0,0,0,0,0,0
regular,ANDRE DA ROCHA,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ANDRE DA ROCHA,Estadual e Municipal,0,20,21,0,70,0,50,0,27,0,0,0
regular,ANTA GORDA,Estadual Urbana,0,0,0,0,106,0,140,0,65,0,0,0
regular,ANTA GORDA,Estadual Rural,0,0,0,0,11,0,22,0,0,0,0,0
regular,ANTA GORDA,Municipal Urbana,25,37,58,0,0,0,0,0,0,0,0,0
regular,ANTA GORDA,Municipal Rural,8,0,27,0,66,0,16,0,0,0,0,0
regular,ANTA GORDA,Estadual e Municipal,33,37,85,0,183,0,178,0,65,0,0,0
regular,ANTONIO PRADO,Estadual Urbana,0,0,0,0,196,0,256,0,291,0,0,65
regular,ANTONIO PRADO,Estadual Rural,0,0,0,0,79,0,78,0,31,0,0,0
regular,ANTONIO PRADO,Municipal Urbana,0,136,128,99,317,0,201,0,0,0,37,0
regular,ANTONIO PRADO,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ANTONIO PRADO,Estadual e Municipal,0,136,128,99,592,0,535,0,322,0,37,65
regular,ARAMBARE,Estadual Urbana,0,0,0,0,52,0,63,0,132,0,0,0
regular,ARAMBARE,Estadual Rural,0,0,0,0,41,0,41,0,0,0,19,0
regular,ARAMBARE,Municipal Urbana,30,0,64,0,80,0,66,0,0,0,41,0
regular,ARAMBARE,Municipal Rural,0,0,19,0,58,0,51,0,0,0,0,0
regular,ARAMBARE,Estadual e Municipal,30,0,83,0,231,0,221,0,132,0,60,0
regular,ARARICA,Estadual Urbana,0,0,0,0,26,0,57,0,204,0,0,0
regular,ARARICA,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ARARICA,Municipal Urbana,0,276,85,133,203,323,325,41,0,0,0,0
regular,ARARICA,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ARARICA,Estadual e Municipal,0,276,85,133,229,323,382,41,204,0,0,0
regular,ARATIBA,Estadual Urbana,0,0,0,0,67,0,101,0,166,0,0,0
regular,ARATIBA,Estadual Rural,0,0,0,0,34,0,36,0,0,0,0,0
regular,ARATIBA,Municipal Urbana,71,37,84,0,142,0,0,105,0,0,16,0
regular,ARATIBA,Municipal Rural,4,0,17,0,24,0,0,0,0,0,0,0
regular,ARATIBA,Estadual e Municipal,75,37,101,0,267,0,137,105,166,0,16,0
regular,ARROIO DO MEIO,Estadual Urbana,0,0,0,0,0,0,83,0,428,0,0,0
regular,ARROIO DO MEIO,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ARROIO DO MEIO,Municipal Urbana,0,0,300,40,551,282,742,0,0,0,17,0
regular,ARROIO DO MEIO,Municipal Rural,0,0,71,0,93,42,0,0,0,0,0,0
regular,ARROIO DO MEIO,Estadual e Municipal,0,0,371,40,644,324,825,0,428,0,17,0
regular,ARROIO DO PADRE,Estadual Urbana,0,0,0,0,0,0,0,0,170,0,0,0
regular,ARROIO DO PADRE,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ARROIO DO PADRE,Municipal Urbana,16,7,52,0,128,0,136,0,0,0,0,0
regular,ARROIO DO PADRE,Municipal Rural,0,0,0,0,41,0,0,0,0,0,0,0
regular,ARROIO DO PADRE,Estadual e Municipal,16,7,52,0,169,0,136,0,170,0,0,0
regular,ARROIO DO SAL,Estadual Urbana,0,0,0,0,34,0,101,0,299,0,46,89
regular,ARROIO DO SAL,Estadual Rural,0,0,0,0,67,0,62,0,0,0,0,0
regular,ARROIO DO SAL,Municipal Urbana,27,229,228,0,513,0,438,0,0,0,15,0
regular,ARROIO DO SAL,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ARROIO DO SAL,Estadual e Municipal,27,229,228,0,614,0,601,0,299,0,61,89
regular,ARROIO DO TIGRE,Estadual Urbana,0,0,0,0,102,0,139,0,397,0,0,0
regular,ARROIO DO TIGRE,Estadual Rural,0,0,0,0,103,0,65,0,0,0,0,0
regular,ARROIO DO TIGRE,Municipal Urbana,0,119,61,0,50,0,89,0,0,0,0,0
regular,ARROIO DO TIGRE,Municipal Rural,0,0,51,116,403,0,377,0,0,0,0,0
regular,ARROIO DO TIGRE,Estadual e Municipal,0,119,112,116,658,0,670,0,397,0,0,0
regular,ARROIO DOS RATOS,Estadual Urbana,0,0,0,0,232,0,190,0,344,0,96,114
regular,ARROIO DOS RATOS,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ARROIO DOS RATOS,Municipal Urbana,0,187,323,0,646,0,507,0,0,0,0,0
regular,ARROIO DOS RATOS,Municipal Rural,0,0,3,0,11,0,7,0,0,0,0,0
regular,ARROIO DOS RATOS,Estadual e Municipal,0,187,326,0,889,0,704,0,344,0,96,114
regular,ARROIO GRANDE,Estadual Urbana,0,0,0,0,433,0,417,0,498,0,186,184
regular,ARROIO GRANDE,Estadual Rural,0,0,0,0,93,38,104,27,0,0,0,0
regular,ARROIO GRANDE,Municipal Urbana,8,201,243,16,276,0,245,0,0,0,0,0
regular,ARROIO GRANDE,Municipal Rural,0,0,54,0,59,0,58,0,0,0,0,0
regular,ARROIO GRANDE,Estadual e Municipal,8,201,297,16,861,38,824,27,498,0,186,184
regular,ARVOREZINHA,Estadual Urbana,0,0,19,0,212,0,183,0,323,0,47,55
regular,ARVOREZINHA,Estadual Rural,0,0,0,0,113,0,82,0,0,0,0,0
regular,ARVOREZINHA,Municipal Urbana,31,125,164,0,141,0,209,0,0,0,0,0
regular,ARVOREZINHA,Municipal Rural,0,0,0,0,26,0,0,0,0,0,0,0
regular,ARVOREZINHA,Estadual e Municipal,31,125,183,0,492,0,474,0,323,0,47,55
regular,AUGUSTO PESTANA,Estadual Urbana,0,0,0,0,87,0,162,0,130,0,0,0
regular,AUGUSTO PESTANA,Estadual Rural,0,0,0,0,11,0,17,0,0,0,0,0
regular,AUGUSTO PESTANA,Municipal Urbana,10,59,70,0,0,0,0,0,0,0,0,0
regular,AUGUSTO PESTANA,Municipal Rural,0,0,44,0,145,0,96,0,0,0,0,0
regular,AUGUSTO PESTANA,Estadual e Municipal,10,59,114,0,243,0,275,0,130,0,0,0
regular,AUREA,Estadual Urbana,0,0,0,0,92,0,110,0,105,0,0,0
regular,AUREA,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,AUREA,Municipal Urbana,51,10,64,0,0,0,0,0,0,0,0,0
regular,AUREA,Municipal Rural,0,0,0,0,67,0,73,0,0,0,0,0
regular,AUREA,Estadual e Municipal,51,10,64,0,159,0,183,0,105,0,0,0
regular,BAGE,Estadual Urbana,0,0,20,0,1451,348,2153,208,3184,47,534,774
regular,BAGE,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BAGE,Municipal Urbana,0,1575,2153,0,3708,198,2904,67,0,0,559,0
regular,BAGE,Municipal Rural,0,0,4,10,7,32,0,33,0,0,0,0
regular,BAGE,Estadual e Municipal,0,1575,2177,10,5166,578,5057,308,3184,47,1093,774
regular,BALNEARIO PINHAL,Estadual Urbana,0,0,0,0,56,0,84,0,316,0,0,84
regular,BALNEARIO PINHAL,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BALNEARIO PINHAL,Municipal Urbana,0,301,343,0,908,0,699,0,0,0,109,0
regular,BALNEARIO PINHAL,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BALNEARIO PINHAL,Estadual e Municipal,0,301,343,0,964,0,783,0,316,0,109,84
regular,BARAO,Estadual Urbana,0,0,0,0,29,0,73,0,203,0,0,0
regular,BARAO,Estadual Rural,0,0,0,0,15,24,16,46,0,0,0,0
regular,BARAO,Municipal Urbana,0,102,13,73,79,64,108,9,0,0,0,0
regular,BARAO,Municipal Rural,1,0,41,0,48,8,33,0,0,0,0,0
regular,BARAO,Estadual e Municipal,1,102,54,73,171,96,230,55,203,0,0,0
regular,BARAO DE COTEGIPE,Estadual Urbana,0,0,0,0,118,0,271,0,149,0,0,0
regular,BARAO DE COTEGIPE,Estadual Rural,0,0,0,0,20,0,22,0,0,0,0,0
regular,BARAO DE COTEGIPE,Municipal Urbana,15,145,143,0,155,0,0,0,0,0,0,0
regular,BARAO DE COTEGIPE,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BARAO DE COTEGIPE,Estadual e Municipal,15,145,143,0,293,0,293,0,149,0,0,0
regular,BARAO DO TRIUNFO,Estadual Urbana,0,0,0,0,0,0,89,0,214,0,0,0
regular,BARAO DO TRIUNFO,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BARAO DO TRIUNFO,Municipal Urbana,0,0,0,0,0,0,0,0,0,0,0,0
regular,BARAO DO TRIUNFO,Municipal Rural,0,0,113,0,346,0,286,0,0,0,23,0
regular,BARAO DO TRIUNFO,Estadual e Municipal,0,0,113,0,346,0,375,0,214,0,23,0
regular,BARRA DO GUARITA,Estadual Urbana,0,0,0,0,0,61,0,73,105,0,13,10
regular,BARRA DO GUARITA,Estadual Rural,0,0,0,0,24,0,29,0,0,0,0,0
regular,BARRA DO GUARITA,Municipal Urbana,0,90,62,37,39,35,48,0,0,0,0,0
regular,BARRA DO GUARITA,Municipal Rural,0,0,16,0,28,0,14,0,0,0,0,0
regular,BARRA DO GUARITA,Estadual e Municipal,0,90,78,37,91,96,91,73,105,0,13,10
regular,BARRA DO QUARAI,Estadual Urbana,0,0,0,0,94,0,97,0,143,0,0,0
regular,BARRA DO QUARAI,Estadual Rural,0,0,0,0,3,0,0,0,0,0,0,0
regular,BARRA DO QUARAI,Municipal Urbana,0,108,66,21,175,28,143,0,0,0,48,0
regular,BARRA DO QUARAI,Municipal Rural,0,0,9,0,45,0,42,0,0,0,0,0
regular,BARRA DO QUARAI,Estadual e Municipal,0,108,75,21,317,28,282,0,143,0,48,0
regular,BARRA DO RIBEIRO,Estadual Urbana,0,0,0,0,336,0,283,0,403,0,56,0
regular,BARRA DO RIBEIRO,Estadual Rural,0,0,13,0,59,0,63,0,0,0,0,0
regular,BARRA DO RIBEIRO,Municipal Urbana,0,127,120,0,203,0,129,0,0,0,0,0
regular,BARRA DO RIBEIRO,Municipal Rural,0,0,47,0,136,0,147,0,0,0,0,0
regular,BARRA DO RIBEIRO,Estadual e Municipal,0,127,180,0,734,0,622,0,403,0,56,0
regular,BARRA DO RIO AZUL,Estadual Urbana,0,0,0,0,49,0,34,0,43,0,0,0
regular,BARRA DO RIO AZUL,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BARRA DO RIO AZUL,Municipal Urbana,0,0,0,0,0,0,0,0,0,0,0,0
regular,BARRA DO RIO AZUL,Municipal Rural,0,0,28,0,25,0,33,0,0,0,0,0
regular,BARRA DO RIO AZUL,Estadual e Municipal,0,0,28,0,74,0,67,0,43,0,0,0
regular,BARRA FUNDA,Estadual Urbana,0,0,0,0,48,0,45,0,93,0,22,0
regular,BARRA FUNDA,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BARRA FUNDA,Municipal Urbana,72,0,63,0,9,55,0,60,0,0,0,0
regular,BARRA FUNDA,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BARRA FUNDA,Estadual e Municipal,72,0,63,0,57,55,45,60,93,0,22,0
regular,BARRACAO,Estadual Urbana,0,0,0,0,86,0,95,0,153,0,0,0
regular,BARRACAO,Estadual Rural,0,0,0,0,11,0,18,0,0,0,0,0
regular,BARRACAO,Municipal Urbana,52,38,103,0,103,0,124,0,0,0,0,0
regular,BARRACAO,Municipal Rural,0,0,0,0,72,0,45,0,0,0,0,0
regular,BARRACAO,Estadual e Municipal,52,38,103,0,272,0,282,0,153,0,0,0
regular,BARROS CASSAL,Estadual Urbana,0,0,7,0,199,0,229,0,258,0,0,0
regular,BARROS CASSAL,Estadual Rural,0,0,0,0,13,0,25,0,0,0,0,0
regular,BARROS CASSAL,Municipal Urbana,15,114,19,97,88,14,171,29,0,0,0,0
regular,BARROS CASSAL,Municipal Rural,5,0,72,0,179,45,180,68,0,0,0,0
regular,BARROS CASSAL,Estadual e Municipal,20,114,98,97,479,59,605,97,258,0,0,0
regular,BENJAMIN CONSTANT DO SUL,Estadual Urbana,0,0,0,0,0,0,0,0,43,0,0,0
regular,BENJAMIN CONSTANT DO SUL,Estadual Rural,0,0,0,0,106,0,83,0,75,0,11,16
regular,BENJAMIN CONSTANT DO SUL,Municipal Urbana,2,0,22,0,46,0,59,0,0,0,0,0
regular,BENJAMIN CONSTANT DO SUL,Municipal Rural,11,0,60,0,0,0,0,0,0,0,0,0
regular,BENJAMIN CONSTANT DO SUL,Estadual e Municipal,13,0,82,0,152,0,142,0,118,0,11,16
regular,BENTO GONCALVES,Estadual Urbana,0,0,19,0,1650,148,1997,0,2102,0,252,178
regular,BENTO GONCALVES,Estadual Rural,0,0,2,0,33,0,10,0,0,0,0,0
regular,BENTO GONCALVES,Municipal Urbana,0,1388,1865,400,2968,140,2264,81,124,0,217,0
regular,BENTO GONCALVES,Municipal Rural,0,0,23,0,83,0,93,0,0,0,0,0
regular,BENTO GONCALVES,Estadual e Municipal,0,1388,1909,400,4734,288,4364,81,2226,0,469,178
regular,BOA VISTA DAS MISSOES,Estadual Urbana,0,0,0,0,55,0,76,0,49,0,0,0
regular,BOA VISTA DAS MISSOES,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BOA VISTA DAS MISSOES,Municipal Urbana,0,48,50,0,87,0,53,0,0,0,0,0
regular,BOA VISTA DAS MISSOES,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BOA VISTA DAS MISSOES,Estadual e Municipal,0,48,50,0,142,0,129,0,49,0,0,0
regular,BOA VISTA DO BURICA,Estadual Urbana,0,0,0,0,127,0,134,0,134,0,0,0
regular,BOA VISTA DO BURICA,Estadual Rural,0,0,0,0,15,0,21,0,0,0,0,0
regular,BOA VISTA DO BURICA,Municipal Urbana,37,139,46,67,177,0,167,0,0,0,0,0
regular,BOA VISTA DO BURICA,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BOA VISTA DO BURICA,Estadual e Municipal,37,139,46,67,319,0,322,0,134,0,0,0
regular,BOA VISTA DO CADEADO,Estadual Urbana,0,0,0,0,0,0,27,0,79,0,0,0
regular,BOA VISTA DO CADEADO,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BOA VISTA DO CADEADO,Municipal Urbana,0,23,30,0,88,0,75,0,0,0,0,0
regular,BOA VISTA DO CADEADO,Municipal Rural,0,0,16,0,41,0,27,0,0,0,0,0
regular,BOA VISTA DO CADEADO,Estadual e Municipal,0,23,46,0,129,0,129,0,79,0,0,0
regular,BOA VISTA DO INCRA,Estadual Urbana,0,0,0,0,0,0,0,0,59,0,0,32
regular,BOA VISTA DO INCRA,Estadual Rural,0,0,0,0,15,0,14,0,0,0,0,0
regular,BOA VISTA DO INCRA,Municipal Urbana,12,20,60,0,129,0,120,0,0,0,15,0
regular,BOA VISTA DO INCRA,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BOA VISTA DO INCRA,Estadual e Municipal,12,20,60,0,144,0,134,0,59,0,15,32
regular,BOA VISTA DO SUL,Estadual Urbana,0,0,0,0,0,0,0,0,0,0,0,0
regular,BOA VISTA DO SUL,Estadual Rural,0,0,0,0,33,0,38,0,52,0,0,0
regular,BOA VISTA DO SUL,Municipal Urbana,0,0,34,0,60,0,83,0,0,0,0,0
regular,BOA VISTA DO SUL,Municipal Rural,0,0,5,0,10,0,0,0,0,0,0,0
regular,BOA VISTA DO SUL,Estadual e Municipal,0,0,39,0,103,0,121,0,52,0,0,0
regular,BOM JESUS,Estadual Urbana,0,0,0,0,470,0,394,0,318,0,0,0
regular,BOM JESUS,Estadual Rural,0,0,0,0,53,0,51,0,0,0,0,0
regular,BOM JESUS,Municipal Urbana,0,209,226,0,169,0,158,0,0,0,107,0
regular,BOM JESUS,Municipal Rural,0,0,41,0,111,0,82,0,0,0,0,0
regular,BOM JESUS,Estadual e Municipal,0,209,267,0,803,0,685,0,318,0,107,0
regular,BOM PRINCIPIO,Estadual Urbana,0,0,0,0,185,0,178,0,305,0,0,0
regular,BOM PRINCIPIO,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BOM PRINCIPIO,Municipal Urbana,8,459,74,193,368,163,419,0,0,0,47,0
regular,BOM PRINCIPIO,Municipal Rural,0,0,0,0,66,9,0,0,0,0,0,0
regular,BOM PRINCIPIO,Estadual e Municipal,8,459,74,193,619,172,597,0,305,0,47,0
regular,BOM PROGRESSO,Estadual Urbana,0,0,0,0,32,0,47,0,81,0,0,0
regular,BOM PROGRESSO,Estadual Rural,0,0,0,0,0,0,0,0,0,134,0,0
regular,BOM PROGRESSO,Municipal Urbana,17,42,40,0,91,0,58,0,0,0,15,0
regular,BOM PROGRESSO,Municipal Rural,0,0,5,0,8,0,0,0,0,0,0,0
regular,BOM PROGRESSO,Estadual e Municipal,17,42,45,0,131,0,105,0,81,134,15,0
regular,BOM RETIRO DO SUL,Estadual Urbana,0,0,0,0,220,0,296,0,285,0,103,106
regular,BOM RETIRO DO SUL,Estadual Rural,0,0,0,0,24,0,27,0,0,0,0,0
regular,BOM RETIRO DO SUL,Municipal Urbana,0,308,81,169,126,301,214,0,0,0,0,0
regular,BOM RETIRO DO SUL,Municipal Rural,0,18,22,10,42,30,69,0,0,0,0,0
regular,BOM RETIRO DO SUL,Estadual e Municipal,0,326,103,179,412,331,606,0,285,0,103,106
regular,BOQUEIRAO DO LEAO,Estadual Urbana,0,0,0,0,160,0,201,0,257,0,22,0
regular,BOQUEIRAO DO LEAO,Estadual Rural,0,0,0,0,67,0,147,0,0,0,0,0
regular,BOQUEIRAO DO LEAO,Municipal Urbana,0,84,68,0,0,0,0,0,0,0,0,0
regular,BOQUEIRAO DO LEAO,Municipal Rural,0,0,103,0,197,0,79,0,0,0,0,0
regular,BOQUEIRAO DO LEAO,Estadual e Municipal,0,84,171,0,424,0,427,0,257,0,22,0
regular,BOSSOROCA,Estadual Urbana,0,0,0,0,134,0,136,0,168,0,89,0
regular,BOSSOROCA,Estadual Rural,0,0,0,0,27,0,22,0,0,0,0,0
regular,BOSSOROCA,Municipal Urbana,104,0,114,0,104,20,45,49,0,0,0,0
regular,BOSSOROCA,Municipal Rural,0,0,23,0,34,38,13,69,18,0,0,0
regular,BOSSOROCA,Estadual e Municipal,104,0,137,0,299,58,216,118,186,0,89,0
regular,BOZANO,Estadual Urbana,0,0,0,0,0,0,81,0,35,0,0,0
regular,BOZANO,Estadual Rural,0,0,0,0,26,0,30,0,0,0,0,0
regular,BOZANO,Municipal Urbana,0,30,35,0,84,0,0,0,0,0,0,0
regular,BOZANO,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BOZANO,Estadual e Municipal,0,30,35,0,110,0,111,0,35,0,0,0
regular,BRAGA,Estadual Urbana,0,0,0,0,85,0,89,0,102,0,0,0
regular,BRAGA,Estadual Rural,0,0,0,0,13,28,0,46,0,0,0,0
regular,BRAGA,Municipal Urbana,30,45,59,0,53,0,60,0,0,0,0,0
regular,BRAGA,Municipal Rural,0,0,11,0,32,0,36,0,0,0,0,0
regular,BRAGA,Estadual e Municipal,30,45,70,0,183,28,185,46,102,0,0,0
regular,BROCHIER,Estadual Urbana,0,0,0,0,71,0,125,0,98,0,0,0
regular,BROCHIER,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BROCHIER,Municipal Urbana,0,73,37,34,80,0,27,0,0,0,0,0
regular,BROCHIER,Municipal Rural,0,0,17,0,65,0,68,0,0,0,0,0
regular,BROCHIER,Estadual e Municipal,0,73,54,34,216,0,220,0,98,0,0,0
regular,BUTIA,Estadual Urbana,0,0,0,0,415,0,481,0,555,0,0,94
regular,BUTIA,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,BUTIA,Municipal Urbana,51,280,361,95,895,0,583,0,0,0,193,0
regular,BUTIA,Municipal Rural,4,0,3,3,17,11,0,9,0,0,17,0
regular,BUTIA,Estadual e Municipal,55,280,364,98,1327,11,1064,9,555,0,210,94
regular,CACAPAVA DO SUL,Estadual Urbana,0,0,0,0,508,1,800,0,713,0,165,356
regular,CACAPAVA DO SUL,Estadual Rural,0,0,0,0,80,0,93,101,240,93,0,0
regular,CACAPAVA DO SUL,Municipal Urbana,72,397,431,106,763,107,300,158,0,0,112,0
regular,CACAPAVA DO SUL,Municipal Rural,0,0,87,0,298,0,295,0,0,0,0,0
regular,CACAPAVA DO SUL,Estadual e Municipal,72,397,518,106,1649,108,1488,259,953,93,277,356
