tipo_educacao,municipio,esfera,creche_parcial,creche_integral,pre_escola_parcial,pre_escola_integral,fundamental_inicial_parcial,fundamental_inicial_integral,fundamental_final_parcial,fundamental_final_integral,medio_parcial,medio_integral,eja_fundamental,eja_medio
regular,ACEGUA,Estadual Urbana,0,0,0,0,0,0,0,0,155,0,37,32
regular,ACEGUA,Estadual Rural,0,0,0,0,18,0,26,0,0,0,12,0
regular,ACEGUA,Municipal Urbana,16,0,68,0,135,0,107,0,0,0,0,0
regular,ACEGUA,Municipal Rural,0,0,68,0,170,0,141,0,0,0,0,0
regular,ACEGUA,Estadual e Municipal,16,0,136,0,323,0,274,0,155,0,49,32
regular,AGUA SANTA,Estadual Urbana,0,0,0,0,0,0,0,0,101,0,14,23
regular,AGUA SANTA,Estadual Rural,0,0,10,0,39,0,52,0,0,0,0,0
regular,AGUA SANTA,Municipal Urbana,53,0,79,0,186,0,164,0,0,0,0,0
regular,AGUA SANTA,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,AGUA SANTA,Estadual e Municipal,53,0,89,0,225,0,216,0,101,0,14,23
regular,AGUDO,Estadual Urbana,0,0,0,0,111,0,162,0,371,0,83,68
regular,AGUDO,Estadual Rural,0,0,0,0,10,0,42,0,52,0,0,0
regular,AGUDO,Municipal Urbana,0,185,186,0,349,0,243,0,0,0,0,0
regular,AGUDO,Municipal Rural,0,0,147,0,332,0,320,0,0,0,0,0
regular,AGUDO,Estadual e Municipal,0,185,333,0,802,0,767,0,423,0,83,68
regular,AJURICABA,Estadual Urbana,0,0,0,0,146,0,192,0,135,0,0,0
regular,AJURICABA,Estadual Rural,0,0,0,0,54,0,39,0,0,0,0,0
regular,AJURICABA,Municipal Urbana,8,82,116,18,86,0,79,0,0,0,0,0
regular,AJURICABA,Municipal Rural,0,0,10,0,39,0,0,0,0,0,0,0
regular,AJURICABA,Estadual e Municipal,8,82,126,18,325,0,310,0,135,0,0,0
regular,ALECRIM,Estadual Urbana,0,0,0,0,198,0,187,0,148,0,0,0
regular,ALECRIM,Estadual Rural,0,0,0,0,6,0,9,0,0,0,0,0
regular,ALECRIM,Municipal Urbana,30,49,104,0,0,0,0,0,0,0,0,0
regular,ALECRIM,Municipal Rural,0,0,26,0,104,0,94,0,0,0,0,0
regular,ALECRIM,Estadual e Municipal,30,49,130,0,308,0,290,0,148,0,0,0
regular,ALEGRETE,Estadual Urbana,0,0,13,0,2038,122,2048,0,2027,0,369,828
regular,ALEGRETE,Estadual Rural,0,0,7,0,142,0,137,0,0,0,0,0
regular,ALEGRETE,Municipal Urbana,223,539,1184,11,1381,71,827,39,0,0,199,0
regular,ALEGRETE,Municipal Rural,7,0,24,85,0,311,0,288,0,118,0,0
regular,ALEGRETE,Estadual e Municipal,230,539,1228,96,3561,504,3012,327,2027,118,568,828
regular,ALEGRIA,Estadual Urbana,0,0,0,0,30,72,19,66,112,0,0,0
regular,ALEGRIA,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ALEGRIA,Municipal Urbana,0,54,65,0,61,0,54,0,0,0,0,0
regular,ALEGRIA,Municipal Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ALEGRIA,Estadual e Municipal,0,54,65,0,91,72,73,66,112,0,0,0
regular,ALMIRANTE TAMANDARE DO SUL,Estadual Urbana,0,0,0,0,49,0,56,0,41,0,0,10
regular,ALMIRANTE TAMANDARE DO SUL,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
regular,ALMIRANTE TAMANDARE DO SUL,Municipal Urbana,0,55,0,28,0,0,0,0,0,0,0,0
regular,ALMIRANTE TAMANDARE DO SUL,Municipal Rural,0,0,24,0,54,0,28,0,0,0,0,0
regular,ALMIRANTE TAMANDARE DO SUL,Estadual e Municipal,0,55,24,28,103,0,84,0,41,0,0,10
regular,ALPESTRE,Estadual Urbana,0,0,0,0,73,0,94,0,166,0,0,0
regular,ALPESTRE,Estadual Rural,0,0,27,0,60,0,84,0,0,0,0,0
regular,ALPESTRE,Municipal Urbana,0,88,18,57,91,0,82,0,0,0,0,0
regular,ALPESTRE,Municipal Rural,0,0,49,0,133,23,102,22,0,0,0,0
regular,ALPESTRE,Estadual e Municipal,0,88,94,57,357,23,362,22,166,0,0,0
regular,ALTO ALEGRE,Estadual Urbana,0,0,0,0,60,0,48,0,45,0,0,0
regular,ALTO ALEGRE,Estadual Rural,0,0,0,0,0,0,0,0,0,0,0,0
